+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                  ;
+--------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                              ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; inst58888|rstgame_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                ; 133   ; 39             ; 0            ; 39             ; 92     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|rstgame_s1_translator_avalon_universal_slave_0_agent|uncompressor                            ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|rstgame_s1_translator_avalon_universal_slave_0_agent                                         ; 266   ; 39             ; 45           ; 39             ; 276    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|ponto1_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                 ; 133   ; 39             ; 0            ; 39             ; 92     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|ponto1_s1_translator_avalon_universal_slave_0_agent|uncompressor                             ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|ponto1_s1_translator_avalon_universal_slave_0_agent                                          ; 266   ; 39             ; 45           ; 39             ; 276    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|ponto2_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                 ; 133   ; 39             ; 0            ; 39             ; 92     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|ponto2_s1_translator_avalon_universal_slave_0_agent|uncompressor                             ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|ponto2_s1_translator_avalon_universal_slave_0_agent                                          ; 266   ; 39             ; 45           ; 39             ; 276    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|potenciometro1_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                         ; 133   ; 39             ; 0            ; 39             ; 92     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|potenciometro1_s1_translator_avalon_universal_slave_0_agent|uncompressor                     ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|potenciometro1_s1_translator_avalon_universal_slave_0_agent                                  ; 266   ; 39             ; 45           ; 39             ; 276    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|potenciometro2_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                         ; 133   ; 39             ; 0            ; 39             ; 92     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|potenciometro2_s1_translator_avalon_universal_slave_0_agent|uncompressor                     ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|potenciometro2_s1_translator_avalon_universal_slave_0_agent                                  ; 266   ; 39             ; 45           ; 39             ; 276    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|jtag_uart_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo               ; 133   ; 39             ; 0            ; 39             ; 92     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|jtag_uart_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor           ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|jtag_uart_avalon_jtag_slave_translator_avalon_universal_slave_0_agent                        ; 266   ; 39             ; 45           ; 39             ; 276    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|onchip_memory_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                          ; 133   ; 39             ; 0            ; 39             ; 92     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|onchip_memory_s1_translator_avalon_universal_slave_0_agent|uncompressor                      ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|onchip_memory_s1_translator_avalon_universal_slave_0_agent                                   ; 266   ; 39             ; 45           ; 39             ; 276    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|nios2_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo                   ; 133   ; 39             ; 0            ; 39             ; 92     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|nios2_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor               ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|nios2_jtag_debug_module_translator_avalon_universal_slave_0_agent                            ; 266   ; 39             ; 45           ; 39             ; 276    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|nios2_data_master_translator_avalon_universal_master_0_agent                                 ; 159   ; 35             ; 66           ; 35             ; 125    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|nios2_instruction_master_translator_avalon_universal_master_0_agent                          ; 159   ; 35             ; 66           ; 35             ; 125    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|rstgame_s1_translator                                                                        ; 98    ; 7              ; 15           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|ponto1_s1_translator                                                                         ; 98    ; 7              ; 15           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|ponto2_s1_translator                                                                         ; 98    ; 7              ; 15           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|potenciometro1_s1_translator                                                                 ; 98    ; 7              ; 15           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|potenciometro2_s1_translator                                                                 ; 98    ; 7              ; 15           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|jtag_uart_avalon_jtag_slave_translator                                                       ; 98    ; 6              ; 16           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|onchip_memory_s1_translator                                                                  ; 98    ; 8              ; 4            ; 8              ; 83     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|nios2_jtag_debug_module_translator                                                           ; 98    ; 6              ; 5            ; 6              ; 82     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|nios2_data_master_translator                                                                 ; 99    ; 13             ; 0            ; 13             ; 90     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|nios2_instruction_master_translator                                                          ; 99    ; 52             ; 2            ; 52             ; 91     ; 52              ; 52            ; 52              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|nios2_custom_instruction_master_multi_slave_translator0                                      ; 160   ; 0              ; 0            ; 0              ; 101    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|nios2_custom_instruction_master_multi_xconnect                                               ; 127   ; 0              ; 0            ; 0              ; 160    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|nios2_custom_instruction_master_translator                                                   ; 250   ; 123            ; 0            ; 123            ; 127    ; 123             ; 123           ; 123             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|rstgame                                                                                      ; 5     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|ponto2                                                                                       ; 8     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|ponto1                                                                                       ; 8     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|lcd_0                                                                                        ; 68    ; 2              ; 55           ; 2              ; 45     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|potenciometro2                                                                               ; 12    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst58888|potenciometro1                                                                               ; 12    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
